cluster,Advertorial,Apparel,B2B Products,Banking/Credit Cards,Beauty Products,COVID Products,Cars,Celebrity News,Cell Service,Computer Security-related,Consumer Tech,Contest,Dating,Decoy,Education,Employment,Entertainment,Food and Drink,Games and Toys,Genealogy,Gifts,Google Responsive,Health and Supplements,Household Products,Human Interest,Humanitarian,Image,Insurance,Investment Pitch,Journalism,Legal Services,Listicle,Medical Services and Prescriptions,Mortgages,Native,Pets,Political Campaign,Political Content,Political Memorabilia,Political Poll,Poll,Public Records Service,Public Relations,Real Estate,Recreational Drugs,Religious,Scientific Journal,Self-Link,Senior Living,Social Media,Software Download,Sponsored Content,Sponsored Search,Sports,Travel,Weapons,Wedding Services,bad_design,boring,clickbait,deceptive,dislike_product,distasteful,entertaining,good_design,like_product,manipulative,politicized,simple,trustworthy,unclear,useful,mean_rating,std_rating,count
2,0.25806451612903225,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,0.3225806451612903,0.0,0.03225806451612903,0.0,0.22580645161290322,0.03225806451612903,0.06451612903225806,0.0,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.0,0.45161290322580644,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.4482404692082111,0.2347996089931574,0.6821603128054741,0.6071847507331376,0.16642228739002934,0.06979472140762463,0.0,0.021456500488758554,0.03435972629521017,0.2395405669599217,0.0,0.07331378299120236,0.0,0.23377321603128054,0.047311827956989246,2.2100313479623823,1.2969823462797725,31
3,0.0,0.0891089108910891,0.38613861386138615,0.0297029702970297,0.0297029702970297,0.0,0.019801980198019802,0.0,0.0,0.039603960396039604,0.039603960396039604,0.009900990099009901,0.0,0.0,0.019801980198019802,0.009900990099009901,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.0,0.0,0.2376237623762376,0.0,0.039603960396039604,0.0,0.019801980198019802,0.7029702970297029,0.019801980198019802,0.0,0.09900990099009901,0.0,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0297029702970297,0.0,0.019801980198019802,0.019801980198019802,0.16831683168316833,0.0,0.0,0.009900990099009901,0.04950495049504951,0.0297029702970297,0.0,0.019801980198019802,0.0,0.009900990099009901,0.21091416833991086,0.3678575549862678,0.08469846984698465,0.06980198019801975,0.19764938032264756,0.0243924392439244,0.05726072607260723,0.26016755521706014,0.1107491518382607,0.048439843984398434,0.01854185418541855,0.37820051235892826,0.08539315470008535,0.2737439128528238,0.10792886981005788,3.809893307468477,1.3519992705029857,101
4,0.008695652173913044,0.06086956521739131,0.1565217391304348,0.017391304347826087,0.034782608695652174,0.034782608695652174,0.043478260869565216,0.0,0.0,0.017391304347826087,0.06956521739130435,0.008695652173913044,0.0,0.0,0.043478260869565216,0.0,0.09565217391304348,0.034782608695652174,0.0,0.0,0.008695652173913044,0.10434782608695652,0.02608695652173913,0.13043478260869565,0.0,0.008695652173913044,0.8347826086956521,0.008695652173913044,0.0,0.0782608695652174,0.0,0.0,0.02608695652173913,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.017391304347826087,0.0,0.0,0.034782608695652174,0.1826086956521739,0.008695652173913044,0.0,0.034782608695652174,0.034782608695652174,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.0,0.008695652173913044,0.11707205837640616,0.20948717948717938,0.053198540589844905,0.028020674977196725,0.10615992702949215,0.0,0.09929867234215053,0.44809769940204724,0.249993919124354,0.03373872504307288,0.0,0.5424029593594814,0.18544846457889938,0.11309313874531263,0.2033667781493869,4.525510204081633,1.294582720540222,115
5,0.1016949152542373,0.05084745762711865,0.06779661016949153,0.06779661016949153,0.0,0.13559322033898305,0.01694915254237288,0.0,0.01694915254237288,0.03389830508474576,0.1016949152542373,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.05084745762711865,0.0847457627118644,0.03389830508474576,0.0,0.01694915254237288,0.13559322033898305,0.03389830508474576,0.0847457627118644,0.01694915254237288,0.0,0.4576271186440678,0.0,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.0,0.3050847457627119,0.03389830508474576,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.0,0.03389830508474576,0.05084745762711865,0.1016949152542373,0.06779661016949153,0.0,0.0,0.0,0.0,0.19738058551617868,0.1489984591679507,0.2901386748844375,0.18828967642526964,0.14114021571648686,0.019568567026194146,0.16548536209553158,0.3204930662557781,0.28289676425269644,0.11987673343605543,0.010015408320493066,0.35007704160246544,0.099537750385208,0.09429892141756548,0.2115562403697997,4.0664451827242525,1.6434927867962483,59
6,0.10869565217391304,0.043478260869565216,0.30434782608695654,0.021739130434782608,0.0,0.06521739130434782,0.043478260869565216,0.0,0.0,0.06521739130434782,0.08695652173913043,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.45652173913043476,0.08695652173913043,0.043478260869565216,0.0,0.0,0.32608695652173914,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.06521739130434782,0.0,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.06521739130434782,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.37516469038208167,0.34107378129117266,0.33857048748353097,0.34008563899868255,0.1654479578392621,0.0,0.0,0.11966403162055335,0.12684453227931486,0.0740118577075099,0.0,0.30177865612648225,0.03978919631093544,0.15895915678524372,0.15530303030303028,3.290870488322718,1.4797575585639726,46
7,0.28205128205128205,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.05128205128205128,0.0,0.15384615384615385,0.23076923076923078,0.02564102564102564,0.23076923076923078,0.0,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0,0.41025641025641024,0.02564102564102564,0.0,0.717948717948718,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.27599067599067595,0.1955710955710955,0.6275058275058275,0.3664335664335665,0.19510489510489507,0.26526806526806535,0.12284382284382282,0.0717948717948718,0.10326340326340329,0.21585081585081584,0.012587412587412588,0.11608391608391606,0.02470862470862471,0.13706293706293704,0.06573426573426573,2.7969924812030076,1.5728190539045594,39
10,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.0,0.09818181818181818,0.0993939393939394,0.09212121212121212,0.08545454545454546,0.059393939393939395,0.0,0.22545454545454546,0.3824242424242424,0.4024242424242424,0.060000000000000005,0.13272727272727275,0.5903030303030303,0.28848484848484846,0.020000000000000004,0.3806060606060606,4.855263157894737,1.3392094867848712,15
11,0.06666666666666667,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.06666666666666667,0.4,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.45696969696969697,0.5303030303030302,0.1515151515151515,0.12545454545454546,0.09272727272727271,0.006666666666666667,0.0,0.006666666666666667,0.059393939393939395,0.03333333333333333,0.019393939393939397,0.1854545454545455,0.019393939393939397,0.5375757575757576,0.05878787878787879,3.0397350993377485,1.2800041390661554,15
12,0.20689655172413793,0.0,0.10344827586206896,0.0,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.13793103448275862,0.034482758620689655,0.0,0.27586206896551724,0.06896551724137931,0.10344827586206896,0.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.3793103448275862,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.4750783699059561,0.35256008359456625,0.47497387669801466,0.3243991640543365,0.18181818181818182,0.0,0.07842215256008361,0.03390804597701149,0.08505747126436783,0.14524555903866251,0.07147335423197493,0.15621734587251826,0.04106583072100314,0.22121212121212117,0.07842215256008361,2.9523809523809526,1.5603155948089054,29
13,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.15384615384615385,0.0,0.0,0.051048951048951054,0.06083916083916085,0.0,0.0,0.07482517482517483,0.0,0.3853146853146854,0.616083916083916,0.40279720279720277,0.0,0.014685314685314687,0.44685314685314687,0.20489510489510493,0.11328671328671332,0.1888111888111888,5.234848484848484,1.2347379638868061,13
